prospect_id,company_name,website,industry_hint,linkedin_url,cloned_site_url
multicultural-entrepreneurial-institute-inc,"Multicultural Entrepreneurial Institute, Inc.",http://www.multiculturalinstitute.com,CPA / Accounting / Advisory Firms,http://www.linkedin.com/in/nathanael-navarrete-810232299,https://multicultural-entrepreneurial-institute-inc-forge.vercel.app
barnes-law-firm,Barnes Law Firm,http://www.law4321.com,Law Firms,http://www.linkedin.com/in/edrick-b-24a8486,https://barnes-law-firm-forge.vercel.app
barringer-law-firm,Barringer Law Firm,http://www.barringerlaw.com,Law Firms,http://www.linkedin.com/in/matthewkbarringer,https://barringer-law-firm-forge.vercel.app
carr-law-firm-p-l-c,Carr Law Firm P.L.C,http://www.carrlawiowa.com,Law Firms,http://www.linkedin.com/in/erin-carr-5a13b1119,https://carr-law-firm-p-l-c-forge.vercel.app
chan-law-firm,Chan Law Firm,http://www.chanimmigration.com,Law Firms,http://www.linkedin.com/in/denverimmigrationattorney,https://chan-law-firm-forge.vercel.app
cross-law-firm,Cross Law Firm,http://www.crosslawfirm.com,Law Firms,http://www.linkedin.com/in/heather-cross-63260848,https://cross-law-firm-forge.vercel.app
hardwick-law-firm-llc,"Hardwick Law Firm, LLC",http://www.hardwicklaw.com,Law Firms,http://www.linkedin.com/in/herb-hardwick-37260759,https://hardwick-law-firm-llc-forge.vercel.app
helton-law-firm,Helton Law Firm,http://www.heltonlawfirm.com,Law Firms,http://www.linkedin.com/in/j-cris-helton-4766b2b,https://helton-law-firm-forge.vercel.app
hinkle-law-firm-llc,Hinkle Law Firm LLC,http://www.hinklaw.com,Law Firms,http://www.linkedin.com/in/dan-peare-1b29887,https://hinkle-law-firm-llc-forge.vercel.app
matos-law-firm,Matos Law Firm,http://www.matoslawfirm.com,Law Firms,http://www.linkedin.com/in/lisandra-matos-037b74123,https://matos-law-firm-forge.vercel.app
miller-miller-law-firm-llc,Miller & Miller Law Firm LLC,http://www.millermillerlaw.com,Law Firms,http://www.linkedin.com/in/milwaukeebankruptcyattorney,https://miller-miller-law-firm-llc-forge.vercel.app
mintz-law-firm-llc,"Mintz Law Firm, LLC",http://www.mintzlawfirm.com,Law Firms,http://www.linkedin.com/in/marshall-mintz-417b644,https://mintz-law-firm-llc-forge.vercel.app
morris-laing-law-firm,Morris Laing Law Firm,http://www.morrislaing.com,Law Firms,http://www.linkedin.com/in/karl-swartz-a733a78,https://morris-laing-law-firm-forge.vercel.app
nelson-law-firm-llc,"Nelson Law Firm, LLC",http://www.nelsonlawfirm.net,Law Firms,http://www.linkedin.com/in/mark-w-nelson-0a28ba40,https://nelson-law-firm-llc-forge.vercel.app
orr-law-firm,Orr Law Firm,http://www.orrlaw.com,Law Firms,http://www.linkedin.com/in/rhidian-orr-26aa777,https://orr-law-firm-forge.vercel.app
peck-law-firm-llc,"Peck Law Firm, LLC",http://www.pecklawfirm.com,Law Firms,http://www.linkedin.com/in/rick-peck-4a5279b5,https://peck-law-firm-llc-forge.vercel.app
rocky-mountain-law-firm,Rocky Mountain Law Firm,http://www.rockymountainhealthcarelaw.com,Law Firms,http://www.linkedin.com/in/philipbluestein,https://rocky-mountain-law-firm-forge.vercel.app
stewart-law-firm,Stewart Law Firm,http://www.rstewartlaw.com,Law Firms,http://www.linkedin.com/in/rodney-stewart-5a59a316a,https://stewart-law-firm-forge.vercel.app
the-brown-law-firm-pc,The Brown Law Firm PC,http://www.tulsabankruptcyhelp.com,Law Firms,http://www.linkedin.com/in/ron-brown-2683754a,https://the-brown-law-firm-pc-forge.vercel.app
the-wilhite-law-firm,The Wilhite Law Firm,http://www.wilhitelawfirm.com,Law Firms,http://www.linkedin.com/in/rachel-wilhite-84422713a,https://the-wilhite-law-firm-forge.vercel.app
whipple-law-firm,Whipple Law Firm,http://www.thewhipplelawfirm.com,Law Firms,http://www.linkedin.com/in/scott-whipple-9933926,https://whipple-law-firm-forge.vercel.app
woody-law-firm-pc,Woody Law Firm PC,http://www.woodylawfirm.com,Law Firms,http://www.linkedin.com/in/t-jason-wood-029ba132,https://woody-law-firm-pc-forge.vercel.app
accel-kkr,Accel-KKR,http://www.accel-kkr.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/tuckermoon,https://accel-kkr-forge.vercel.app
arcline-investment-management,Arcline Investment Management,http://www.arcline.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/chris-steele1,https://arcline-investment-management-forge.vercel.app
bc-partners,BC Partners,http://www.bcpartners.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/fahim-ahmed-1635a548,https://bc-partners-forge.vercel.app
blackford-capital,Blackford Capital,http://www.blackfordcapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/kristen-muir-95ab875b,https://blackford-capital-forge.vercel.app
blue-star-innovation-partners,Blue Star Innovation Partners,http://www.bluestarinnovationpartners.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/royleesanchez,https://blue-star-innovation-partners-forge.vercel.app
boyne-capital,Boyne Capital,http://www.boynecapital.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/lawson-brown-cpa-87753215,https://boyne-capital-forge.vercel.app
butterfly-equity,Butterfly Equity,http://www.bfly.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/charlotte-s-porter,https://butterfly-equity-forge.vercel.app
clise-properties,Clise Properties,http://www.cliseproperties.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/kathy-mancini-o-kelley-84b98ab,https://clise-properties-forge.vercel.app
core-industrial-partners,CORE Industrial Partners,http://www.coreipfund.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/diego-giraldez-12337249,https://core-industrial-partners-forge.vercel.app
darwin-homes,Darwin Homes,http://www.darwinhomes.com,Private Equity / Portfolio Operations,http://www.linkedin.com/in/meg-ross-42265337,https://darwin-homes-forge.vercel.app
